match_id,kills_diff,deaths_diff,assists_diff,gold_diff,damage_diff,damage_taken_diff,cs_diff,vision_diff,mean_kda_diff,team_kda_diff,win_blue
RU_535341091,-17,17,-27,-10107,-10611,6125,19,-5,-7.378095238095236,-3.181704260651629,0
RU_535341665,18,-18,37,9143,32470,-13636,-119,-16,3.175937950937951,2.381221719457014,1
RU_535341800,-15,17,-28,-13148,-30821,9639,-70,-18,-5.9044444444444455,-5.433333333333333,0
RU_535343408,-14,13,0,-9479,-43536,26826,-25,7,-2.71,-2.41005291005291,0
RU_535344091,14,-14,18,8087,16275,-5334,75,-20,5.420909090909091,3.259770114942529,1
RU_535344511,13,-13,20,5061,35483,-16907,-85,37,1.928499278499279,1.5400500625782227,1
RU_535345636,-11,11,-35,-9979,-2222,-14927,-38,24,-3.493333333333333,-2.9107142857142856,0
RU_535346639,6,-5,-11,7024,-58,7583,63,21,-1.7264069264069262,0.2400000000000002,1
RU_535347095,20,-20,28,11932,25894,1910,16,44,3.957229437229437,3.0980788675429727,1
RU_535349781,-18,18,-2,-10241,-51566,31955,-74,-15,-2.0339743589743584,-1.5527950310559007,0
RU_535350740,17,-17,37,13972,23459,-18135,-20,43,8.944444444444443,9.862318840579709,1
RU_535350930,18,-18,21,11512,24226,-13354,70,10,5.675238095238095,4.9,1
RU_535351931,8,-9,12,11043,23426,-18494,111,0,2.876190476190476,1.5298913043478262,1
RU_535353750,-2,2,-5,2275,9192,-2546,25,-26,-1.423809523809524,-0.47478260869565236,1
RU_535353824,12,-12,5,4265,8636,-7939,-18,-7,2.1194444444444445,1.606951871657754,1
RU_535354295,11,-10,10,8224,20345,-16033,60,7,2.667619047619048,2.2142857142857144,1
RU_535355693,-10,10,-6,-9495,-18698,3278,0,-12,-1.8993145743145738,-1.1816239316239314,0
RU_535357245,19,-19,27,12645,29930,-16411,97,23,5.913636363636363,5.212365591397849,1
RU_535358479,10,-9,11,4510,2853,4054,28,16,4.17,2.810526315789474,1
RU_535358590,15,-15,33,12173,31816,-32618,34,-9,2.9485714285714284,2.9455128205128203,1
RU_535358798,-16,16,-41,-7534,-34958,37829,44,-23,-2.973997113997114,-2.232905982905983,0
RU_535359993,19,-20,30,12710,23613,-14964,-13,-22,6.214035964035964,3.5,1
RU_535360421,-13,13,-25,-3700,-17911,1795,43,-30,-5.806666666666668,-5.7979797979797985,0
RU_535360782,2,-2,-18,-5919,-9273,12542,-70,1,1.5213636363636365,-0.2814258911819887,0
RU_535360914,15,-15,27,11810,6944,346,73,12,7.1049999999999995,6.194444444444444,1
RU_535361096,-12,12,-10,-2749,-16637,22680,11,-16,-4.6066666666666665,-3.4603174603174605,0
RU_535361294,8,-8,18,4493,16169,-16004,-21,-16,1.7513419913419912,1.2521008403361344,1
RU_535363904,8,-8,17,3983,12250,-13573,-20,-8,4.359999999999999,2.716666666666667,1
RU_535364785,-17,17,-16,-8425,-15946,16924,25,-8,-3.748095238095239,-3.3181818181818183,0
RU_535365700,19,-19,22,12148,22166,-5125,21,23,7.058968253968254,5.0,1
RU_535366223,19,-19,27,10120,17068,-19565,25,34,6.951190476190476,4.766233766233766,1
RU_535366265,22,-22,27,11126,13131,8982,13,18,8.034720279720279,2.4230769230769234,1
RU_535366745,7,-10,2,6503,21059,-8598,88,2,1.3141774891774893,0.9323308270676691,1
RU_535367818,-18,18,-31,-13404,-26,-5135,-11,-41,-7.032251082251083,-3.6031294452347082,0
RU_535367959,19,-19,32,11250,13247,-7954,84,8,10.692857142857143,7.023809523809524,1
RU_535368633,-15,15,-22,-10286,-20316,18833,-92,2,-4.348571428571429,-3.7527472527472527,0
RU_535369450,-27,27,-32,-13466,-27593,17497,-67,-23,-11.548095238095238,-21.166666666666664,0
RU_535371113,13,-13,22,6771,20008,-15125,22,24,3.466666666666666,3.2241379310344827,1
RU_535372409,6,-7,15,5847,13445,-12858,-26,-9,1.9684920634920635,1.2,1
RU_535373387,12,-12,43,5792,57377,-57700,-32,4,2.6529365079365075,2.0557087699944843,1
RU_535374367,11,-11,35,10124,23614,-29283,28,-16,4.333333333333333,3.607142857142857,1
RU_535375719,-13,13,-22,-9810,-20889,14021,-59,-35,-6.235555555555556,-3.052941176470588,0
RU_535376057,22,-22,43,14025,35486,-16824,-16,16,6.918354978354978,4.522464698331194,1
RU_535376380,16,-16,34,404,30915,-22025,-122,19,3.131666666666666,2.489855072463768,1
RU_535376973,9,-9,13,9115,-5326,19857,-33,10,2.013333333333333,2.3916666666666666,1
RU_535377434,-25,25,-48,-9216,-32550,27970,-9,-4,-4.50022644022644,-3.9770408163265305,0
RU_535377444,27,-27,13,14465,48655,-35163,60,3,7.806031746031745,5.678378378378378,1
RU_535377900,-14,14,-6,-9604,-15161,-12879,64,-9,-2.190952380952381,-1.7524841915085818,0
RU_535378888,17,-15,10,11007,26129,-1528,85,10,1.732222222222222,1.2892156862745099,1
RU_535380209,23,-23,23,13466,35862,-22833,25,9,5.726031746031746,5.366666666666667,1
