gameName,tagLine,puuid,summonerLevel
OboyaShka,3939,TNVm2T9C6_REu3KfyztgJDf2QMKAQd6IyrdXZzbWBFvFg0_hk1tbXv8NvQkI921t3qE30mi7AqT6dA,517
Ziro,UA1,xA5DQ0QrmmOQ08xMj4JVaKbKDX4tWfD-pIeiHONPg3mKA0yxfZeqzotFix_fK-ohQscelI76J9PHAA,877
Misery,Broke,Y_SFXKredU0rKXjG7aBKkEuBxzaKZrsN2TMQM2FkBfnlPBE-yPbqAWvor9V-khDH9FH8LtmCIbAUZA,447
Shion,JBA,YyJ5LsRcQswiVanwgawrh5R8W4K1s788W9vReE15Drrh7Oyj5UN0VH1Qae3b2P1T9QQbITqfZZCxew,716
СвященныйТаПоЧеК,RU1,NWy4O2VAojQD3fpXuCuNLXff1SqVW5Ijds2TukUNnkcJcNhXUdNkATWWRQvw97OjpVXYym8dlTidqg,710
RelaXX,TUGA,94JWNRlpgrqcg51ntSyf7xlt_sRznMeFT9qgqo9fLhUdjMRdhkijqOtNjK7QBFacV1o_-jGbPBykfQ,60
Подземный Житель,DEEP,zI84pQq8WzWz9q9ldVaJ7tCWVN_s81dPXp86Zpael7yYcQyMB-wUUvVdubOsQPiKiupkE--EZKkn5A,96
killu2day,Low9,t4s8h_rCHraaSnpMRWv1iJR6xlxNkf6kexJLRpi6zEDismno2wByQVLGHLInkmZlXsS2lZKts5rhWg,408
DANNY CHAN,GAY,gk6B1wuziS_ZQjBW4ar8ddK99ZPEGGmwps0SdklD1ZnKph2b8jjQm3S8gNzCkysXlKNH6ID8H5Hsmg,682
GriNH,RU1,VDcnAk5KucNVDi-hVQHeO3qwpiy07m7oT8nypQ0XNw2ShLtrKT-FOZJi2J6vHx3g8U-ePUWWM49wlA,567
Miulchi,04041,t7TYPW8lrAJIiLhBMpATAuUEJGdiA7RHj4AYdISnxuuhfXpU7Z0rf_62cc7G_fz7zBep8EO1IKnO1Q,301
